ACCIDENT DATE,ACCIDENT TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
2019-08-20T00:00:00.000,10:30,BROOKLYN,11205,40.6984630,-73.9602050,"{'type': 'Point', 'coordinates': [-73.960205, 40.698463]}",FLUSHING AVENUE                 ,KENT AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4192027,Pick-up Truck,Box Truck,,,
2019-08-04T00:00:00.000,23:09,,,40.7166520,-73.8259000,"{'type': 'Point', 'coordinates': [-73.8259, 40.716652]}",GRAND CENTRAL PKWY              ,,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,4182834,Station Wagon/Sport Utility Vehicle,Taxi,,,
2019-08-12T00:00:00.000,11:20,QUEENS,11420,40.6785500,-73.8142200,"{'type': 'Point', 'coordinates': [-73.81422, 40.67855]}",,,125-05    115 AVENUE                    ,1,0,0,0,0,0,1,0,View Obstructed/Limited,Unsafe Speed,,,,4187599,Station Wagon/Sport Utility Vehicle,Sedan,,,
2019-08-09T00:00:00.000,18:30,MANHATTAN,10012,40.7208900,-73.9957600,"{'type': 'Point', 'coordinates': [-73.99576, 40.72089]}",KENMARE STREET                  ,MOTT STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4188509,Sedan,Sedan,,,
2019-08-07T00:00:00.000,13:25,,,40.6815570,-73.9665450,"{'type': 'Point', 'coordinates': [-73.966545, 40.681557]}",ATLANTIC AVENUE                 ,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4185313,Sedan,Station Wagon/Sport Utility Vehicle,,,
2019-08-27T00:00:00.000,17:06,BRONX,10458,40.8657260,-73.8873440,"{'type': 'Point', 'coordinates': [-73.887344, 40.865726]}",,,382       EAST 197 STREET               ,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage,Unspecified,Unspecified,Unspecified,,4195871,Station Wagon/Sport Utility Vehicle,Taxi,Taxi,Station Wagon/Sport Utility Vehicle,
2019-08-16T00:00:00.000,17:20,STATEN ISLAND,10309,40.5231360,-74.2162500,"{'type': 'Point', 'coordinates': [-74.21625, 40.523136]}",AMBOY ROAD                      ,STATION AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,4191144,Sedan,,,,
2019-08-25T00:00:00.000,11:58,BRONX,10452,40.8369940,-73.9258500,"{'type': 'Point', 'coordinates': [-73.92585, 40.836994]}",,,1170      NELSON AVENUE                 ,0,0,0,0,0,0,0,0,Driverless/Runaway Vehicle,Unspecified,,,,4197166,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2019-08-06T00:00:00.000,16:50,BROOKLYN,11230,40.6166530,-73.9723400,"{'type': 'Point', 'coordinates': [-73.97234, 40.616653]}",AVENUE M                        ,EAST 3 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4185461,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2019-08-15T00:00:00.000,16:11,MANHATTAN,10018,40.7562070,-73.9913600,"{'type': 'Point', 'coordinates': [-73.99136, 40.756207]}",,,310       WEST 40 STREET                ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4189468,Bus,Station Wagon/Sport Utility Vehicle,,,
2019-08-21T00:00:00.000,19:15,MANHATTAN,10018,40.7571070,-73.9973140,"{'type': 'Point', 'coordinates': [-73.997314, 40.757107]}",WEST 38 STREET                  ,10 AVENUE,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,4193346,Station Wagon/Sport Utility Vehicle,Taxi,,,
2019-08-29T00:00:00.000,7:55,MANHATTAN,10010,40.7357980,-73.9761050,"{'type': 'Point', 'coordinates': [-73.976105, 40.735798]}",,,510       EAST 23 STREET                ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4196618,Station Wagon/Sport Utility Vehicle,Sedan,,,
2019-11-26T00:00:00.000,0:00,BROOKLYN,11210,40.6258430,-73.9553700,"{'type': 'Point', 'coordinates': [-73.95537, 40.625843]}",AVENUE J                        ,EAST 21 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,4247732,Sedan,,,,
2019-08-28T00:00:00.000,17:00,BROOKLYN,11249,40.7091200,-73.9685000,"{'type': 'Point', 'coordinates': [-73.9685, 40.70912]}",,,440       KENT AVENUE                   ,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4198840,Station Wagon/Sport Utility Vehicle,Bike,,,
2019-08-02T00:00:00.000,13:56,,,,,,WESTCHESTER AVENUE              ,BRUCKNER BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4182323,Sedan,Station Wagon/Sport Utility Vehicle,,,
2019-08-21T00:00:00.000,22:21,BROOKLYN,11203,40.6542200,-73.9238600,"{'type': 'Point', 'coordinates': [-73.92386, 40.65422]}",LINDEN BOULEVARD                ,EAST 57 STREET,,3,0,0,0,0,0,3,0,Unspecified,Unspecified,,,,4194360,Sedan,Box Truck,,,
2019-08-20T00:00:00.000,11:00,QUEENS,11105,40.7736630,-73.9023900,"{'type': 'Point', 'coordinates': [-73.90239, 40.773663]}",21 AVENUE                       ,42 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4192979,Sedan,Sedan,,,
2019-08-29T00:00:00.000,16:00,QUEENS,11104,40.7434800,-73.9214860,"{'type': 'Point', 'coordinates': [-73.921486, 40.74348]}",43 STREET                       ,QUEENS BOULEVARD,,1,0,0,0,0,0,1,0,Unspecified,,,,,4197196,Station Wagon/Sport Utility Vehicle,,,,
2019-08-12T00:00:00.000,13:00,BROOKLYN,11226,40.6483760,-73.9657900,"{'type': 'Point', 'coordinates': [-73.96579, 40.648376]}",MARLBOROUGH ROAD                ,CHURCH AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,4187562,Sedan,,,,
2019-08-26T00:00:00.000,21:44,BRONX,10457,40.8396150,-73.9048900,"{'type': 'Point', 'coordinates': [-73.90489, 40.839615]}",,,425       CLAREMONT PARKWAY             ,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4195373,Station Wagon/Sport Utility Vehicle,,,,
2019-08-17T00:00:00.000,12:00,QUEENS,11364,40.7444300,-73.7650600,"{'type': 'Point', 'coordinates': [-73.76506, 40.74443]}",,,64-27     211 STREET                    ,0,0,0,0,0,0,0,0,Backing Unsafely,Other Vehicular,,,,4189934,Station Wagon/Sport Utility Vehicle,Sedan,,,
2019-08-04T00:00:00.000,19:30,BROOKLYN,11223,40.6034000,-73.9718100,"{'type': 'Point', 'coordinates': [-73.97181, 40.6034]}",,,14        BILLINGS PLACE                ,0,0,0,0,0,0,0,0,Turning Improperly,Passing or Lane Usage Improper,Unspecified,,,4182955,Sedan,Sedan,Sedan,,
2019-08-12T00:00:00.000,13:30,,,40.7130700,-73.7752700,"{'type': 'Point', 'coordinates': [-73.77527, 40.71307]}",186 STREET                      ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4188162,Sedan,Sedan,,,
2019-08-14T00:00:00.000,17:15,MANHATTAN,10001,,,,WEST 34 STREET                  ,12 AVENUE,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,4189031,Sedan,Sedan,,,
2019-08-26T00:00:00.000,15:00,QUEENS,11433,40.7048530,-73.7916640,"{'type': 'Point', 'coordinates': [-73.791664, 40.704853]}",93 AVENUE                       ,168 STREET,,1,0,0,0,0,0,1,0,Brakes Defective,Unspecified,,,,4197512,Station Wagon/Sport Utility Vehicle,Sedan,,,
2019-08-07T00:00:00.000,16:13,,,,,,HUTCHINSON RIVER PARKWAY        ,,,2,0,0,0,0,0,2,0,Reaction to Uninvolved Vehicle,,,,,4185359,Pick-up Truck,,,,
2019-08-02T00:00:00.000,14:50,MANHATTAN,10121,40.7500150,-73.9913560,"{'type': 'Point', 'coordinates': [-73.991356, 40.750015]}",,,2         PENNSYLVANIA PLAZA            ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4182304,Box Truck,Taxi,,,
2019-08-20T00:00:00.000,23:30,,,40.7293500,-73.9101940,"{'type': 'Point', 'coordinates': [-73.910194, 40.72935]}",LONG ISLAND EXPRESSWAY          ,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4192604,Station Wagon/Sport Utility Vehicle,Sedan,,,
2019-08-07T00:00:00.000,22:38,,,40.8039600,-73.9482800,"{'type': 'Point', 'coordinates': [-73.94828, 40.80396]}",WEST 119 STREET                 ,,,0,0,0,0,0,0,0,0,Passing Too Closely,Other Vehicular,,,,4187471,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2019-08-24T00:00:00.000,2:37,BROOKLYN,11232,40.6498600,-74.0197200,"{'type': 'Point', 'coordinates': [-74.01972, 40.64986]}",1 AVENUE                        ,51 STREET,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4193871,Station Wagon/Sport Utility Vehicle,Garbage or Refuse,,,
2019-08-11T00:00:00.000,7:55,BROOKLYN,11221,40.6846240,-73.9383800,"{'type': 'Point', 'coordinates': [-73.93838, 40.684624]}",MARCUS GARVEY BOULEVARD         ,JEFFERSON AVENUE,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4191300,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2019-08-23T00:00:00.000,15:15,,,40.5348130,-74.1941150,"{'type': 'Point', 'coordinates': [-74.194115, 40.534813]}",KOREAN WAR VETS PARKWAY         ,,,1,0,0,0,0,0,1,0,Drugs (illegal),,,,,4193804,Pick-up Truck,,,,
2019-08-02T00:00:00.000,0:15,,,,,,VANWYCK EXPRESSWAY              ,109 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4181243,Sedan,Sedan,,,
2019-08-28T00:00:00.000,14:40,,,40.8182100,-73.9614400,"{'type': 'Point', 'coordinates': [-73.96144, 40.81821]}",HENRY HUDSON PARKWAY            ,,,2,0,0,0,0,0,2,0,Reaction to Uninvolved Vehicle,,,,,4203814,Sedan,,,,
2019-08-15T00:00:00.000,18:08,,,,,,BROOKLYN BRIDGE                 ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Passing or Lane Usage Improper,,,,4192999,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2019-08-28T00:00:00.000,12:30,,,,,,LAURELTON PARKWAY               ,FRANCIS LEWIS BOULEVARD,,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,,,,,4196752,Sedan,,,,
2019-08-23T00:00:00.000,15:37,BROOKLYN,11235,40.5782740,-73.9582700,"{'type': 'Point', 'coordinates': [-73.95827, 40.578274]}",BRIGHTON BEACH AVENUE           ,OCEANA TERRACE,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,4194489,Sedan,Bulk Agriculture,,,
2019-08-27T00:00:00.000,9:27,BRONX,10472,40.8322300,-73.8752440,"{'type': 'Point', 'coordinates': [-73.875244, 40.83223]}",,,1308      MORRISON AVENUE               ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4197752,Sedan,Sedan,,,
2019-08-14T00:00:00.000,12:00,,,40.6765300,-73.7569300,"{'type': 'Point', 'coordinates': [-73.75693, 40.67653]}",137 AVENUE                      ,,,1,0,0,0,1,0,0,0,Unspecified,,,,,4189488,Bike,,,,
2019-08-03T00:00:00.000,12:45,QUEENS,11421,40.6884100,-73.8479400,"{'type': 'Point', 'coordinates': [-73.84794, 40.68841]}",95 STREET                       ,ATLANTIC AVENUE,,1,0,0,0,0,0,1,0,Pavement Defective,,,,,4181981,Sedan,,,,
2019-08-13T00:00:00.000,0:05,,,40.6966630,-73.9808500,"{'type': 'Point', 'coordinates': [-73.98085, 40.696663]}",BROOKLYN QUEENS EXPRESSWAY      ,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4188184,Tractor Truck Diesel,Sedan,,,
2018-07-22T00:00:00.000,17:06,BRONX,10467,,,,Van Cortlandt Park S            ,MOSHOLU PARKWAY,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,3945953,Sedan,Sedan,,,
2019-08-29T00:00:00.000,10:00,,,40.7693330,-73.8417360,"{'type': 'Point', 'coordinates': [-73.841736, 40.769333]}",COLLEGE POINT BOULEVARD         ,31 AVENUE,,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Unspecified,,,,4196580,Bus,Station Wagon/Sport Utility Vehicle,,,
2019-08-17T00:00:00.000,14:00,,,40.7563670,-73.9601200,"{'type': 'Point', 'coordinates': [-73.96012, 40.756367]}",FDR DRIVE                       ,,,0,0,0,0,0,0,0,0,Lane Marking Improper/Inadequate,Lane Marking Improper/Inadequate,,,,4190123,Sedan,Sedan,,,
2019-08-03T00:00:00.000,21:00,MANHATTAN,10128,40.7820550,-73.9537300,"{'type': 'Point', 'coordinates': [-73.95373, 40.782055]}",LEXINGTON AVENUE                ,EAST 90 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4182553,Taxi,Station Wagon/Sport Utility Vehicle,,,
2019-08-14T00:00:00.000,11:30,,,40.7245520,-73.7245200,"{'type': 'Point', 'coordinates': [-73.72452, 40.724552]}",CROSS ISLAND PARKWAY            ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4188570,Sedan,Station Wagon/Sport Utility Vehicle,,,
2019-08-22T00:00:00.000,10:28,,,40.5933270,-73.9646450,"{'type': 'Point', 'coordinates': [-73.964645, 40.593327]}",OCEAN PARKWAY                   ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4193228,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2019-08-17T00:00:00.000,8:53,BROOKLYN,11228,40.6153830,-74.0161300,"{'type': 'Point', 'coordinates': [-74.01613, 40.615383]}",86 STREET                       ,12 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4191282,Sedan,Pick-up Truck,,,
2019-08-07T00:00:00.000,15:33,,,40.5849300,-73.9526900,"{'type': 'Point', 'coordinates': [-73.95269, 40.58493]}",BELT PARKWAY                    ,,,1,0,0,0,0,0,1,0,Following Too Closely,Following Too Closely,Unspecified,,,4184960,Sedan,Sedan,Sedan,,
2019-08-23T00:00:00.000,6:31,MANHATTAN,10010,40.7407300,-73.9817660,"{'type': 'Point', 'coordinates': [-73.981766, 40.74073]}",3 AVENUE                        ,EAST 26 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4193449,Sedan,Tractor Truck Gasoline,,,
2019-08-23T00:00:00.000,0:00,,,40.8095630,-73.9292300,"{'type': 'Point', 'coordinates': [-73.92923, 40.809563]}",3 AVENUE                        ,EAST 135 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4193284,Taxi,Sedan,,,
2019-08-28T00:00:00.000,8:00,,,40.6615220,-74.0000800,"{'type': 'Point', 'coordinates': [-74.00008, 40.661522]}",GOWANUS EXPY (BQE)              ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4196293,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2019-08-21T00:00:00.000,18:50,BROOKLYN,11226,40.6513630,-73.9634500,"{'type': 'Point', 'coordinates': [-73.96345, 40.651363]}",CATON AVENUE                    ,EAST 18 STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4193103,Sedan,Bike,,,
2019-08-10T00:00:00.000,7:50,QUEENS,11434,40.6666950,-73.7671360,"{'type': 'Point', 'coordinates': [-73.767136, 40.666695]}",SOUTH CONDUIT AVENUE            ,FARMERS BOULEVARD,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,Unspecified,Unspecified,Unspecified,4186155,Station Wagon/Sport Utility Vehicle,Sedan,Pick-up Truck,Station Wagon/Sport Utility Vehicle,Sedan
2019-08-29T00:00:00.000,8:17,BROOKLYN,11208,40.6763270,-73.8654700,"{'type': 'Point', 'coordinates': [-73.86547, 40.676327]}",GRANT AVENUE                    ,PITKIN AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,4197604,Station Wagon/Sport Utility Vehicle,,,,
2019-08-04T00:00:00.000,1:45,BRONX,10461,40.8526500,-73.8423100,"{'type': 'Point', 'coordinates': [-73.84231, 40.85265]}",BASSETT AVENUE                  ,WILKINSON AVENUE,,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Unspecified,,,,4183961,Box Truck,Pick-up Truck,,,
2019-08-11T00:00:00.000,14:45,BROOKLYN,11208,40.6835480,-73.8725100,"{'type': 'Point', 'coordinates': [-73.87251, 40.683548]}",,,3336      FULTON STREET                 ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4186883,Sedan,Bus,,,
2019-08-07T00:00:00.000,7:00,QUEENS,11434,40.6723820,-73.7857400,"{'type': 'Point', 'coordinates': [-73.78574, 40.672382]}",ROCKAWAY BOULEVARD              ,BAISLEY BOULEVARD,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,4184513,Sedan,Sedan,,,
2019-08-28T00:00:00.000,18:36,,,40.7000540,-73.9245900,"{'type': 'Point', 'coordinates': [-73.92459, 40.700054]}",HART STREET                     ,,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,4196881,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
2019-08-05T00:00:00.000,12:00,QUEENS,11101,40.7519900,-73.9312740,"{'type': 'Point', 'coordinates': [-73.931274, 40.75199]}",NORTHERN BOULEVARD              ,33 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4183557,Sedan,Sedan,,,
2019-08-27T00:00:00.000,14:38,,,40.6692730,-73.9225540,"{'type': 'Point', 'coordinates': [-73.922554, 40.669273]}",LINCOLN PLACE                   ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4196918,Sedan,,,,
2019-08-18T00:00:00.000,12:00,STATEN ISLAND,10306,40.5704650,-74.1097700,"{'type': 'Point', 'coordinates': [-74.10977, 40.570465]}",HYLAN BOULEVARD                 ,NEW DORP LANE,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4190301,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2019-08-21T00:00:00.000,20:00,,,,,,,,1         HARPER STREET                 ,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4192896,Box Truck,Station Wagon/Sport Utility Vehicle,,,
2019-08-07T00:00:00.000,9:08,MANHATTAN,10035,40.8041340,-73.9368400,"{'type': 'Point', 'coordinates': [-73.93684, 40.804134]}",,,159       EAST 125 STREET               ,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4184714,Station Wagon/Sport Utility Vehicle,Sedan,,,
2019-08-14T00:00:00.000,19:00,,,40.7491840,-73.7581940,"{'type': 'Point', 'coordinates': [-73.758194, 40.749184]}",HORACE HARDING EXPRESSWAY       ,220 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4188758,Sedan,Station Wagon/Sport Utility Vehicle,,,
2019-08-24T00:00:00.000,9:20,,,,,,SOUNDVIEW LANE                  ,,,1,0,0,0,0,0,1,0,Brakes Defective,,,,,4194569,Station Wagon/Sport Utility Vehicle,,,,
2019-08-28T00:00:00.000,10:00,,,40.7534750,-73.9925400,"{'type': 'Point', 'coordinates': [-73.99254, 40.753475]}",8 AVENUE                        ,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4196028,Pick-up Truck,Taxi,,,
2016-03-05T00:00:00.000,19:16,,,,,,,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3400498,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2019-11-26T00:00:00.000,11:10,,,,,,GOWANUS RAMP                    ,,,3,0,0,0,0,0,3,0,Following Too Closely,Unspecified,,,,4248133,Van,Sedan,,,
2019-08-04T00:00:00.000,16:15,,,40.7026140,-73.9605800,"{'type': 'Point', 'coordinates': [-73.96058, 40.702614]}",BROOKLYN QUEENS EXPRESSWAY      ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4183644,Station Wagon/Sport Utility Vehicle,,,,
2019-08-17T00:00:00.000,15:50,BROOKLYN,11208,40.6641920,-73.8775900,"{'type': 'Point', 'coordinates': [-73.87759, 40.664192]}",LINDEN BOULEVARD                ,ESSEX STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4190229,Sedan,Sedan,,,
2019-08-11T00:00:00.000,16:00,QUEENS,11363,40.7622900,-73.7571100,"{'type': 'Point', 'coordinates': [-73.75711, 40.76229]}",CROSS ISLAND PARKWAY            ,NORTHERN BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inexperience,,,,4186778,Station Wagon/Sport Utility Vehicle,Sedan,,,
2019-08-03T00:00:00.000,9:45,QUEENS,11368,40.7575340,-73.8665800,"{'type': 'Point', 'coordinates': [-73.86658, 40.757534]}",NORTHERN BOULEVARD              ,102 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4182218,Sedan,Station Wagon/Sport Utility Vehicle,,,
2019-08-21T00:00:00.000,16:45,BROOKLYN,11226,40.6409450,-73.9485200,"{'type': 'Point', 'coordinates': [-73.94852, 40.640945]}",NOSTRAND AVENUE                 ,AVENUE D,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4192657,Pick-up Truck,Station Wagon/Sport Utility Vehicle,,,
2019-08-19T00:00:00.000,14:38,QUEENS,11369,40.7666170,-73.8649750,"{'type': 'Point', 'coordinates': [-73.864975, 40.766617]}",,,105-08    DITMARS BOULEVARD             ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4191378,Pick-up Truck,Sedan,,,
